			0 <TEXT>  (22) Rank: 0.0, 1 <TEXT>  (27) Rank: 0.0, 2 <TEXT>  (72) Rank: 0.0
1  2019 *			1 <TEXT>  (1) Rank: 0.0
1m8			0 <TEXT>  (2) Rank: 0.0, 1 <TEXT>  (2) Rank: 0.0, 2 <TEXT>  (2) Rank: 0.0
1r6			0 <TEXT>  (2) Rank: 0.0, 1 <TEXT>  (2) Rank: 0.0, 2 <TEXT>  (2) Rank: 0.0
2011-2012			2 <TEXT>  (1) Rank: 0.0
2012-2013			2 <TEXT>  (1) Rank: 0.0
2013-2014			2 <TEXT>  (1) Rank: 0.0
2014-2015			2 <TEXT>  (1) Rank: 0.0
2015-2016			2 <TEXT>  (1) Rank: 0.0
2016-2017			2 <TEXT>  (1) Rank: 0.0
2017-2018			2 <TEXT>  (1) Rank: 0.0
2018-2019			2 <TEXT>  (1) Rank: 0.0
2019-2020			2 <TEXT>  (1) Rank: 0.0
3m			0 <TEXT>  (2) Rank: 0.0
514-848-2424			0 <TEXT>  (2) Rank: 0.0, 1 <TEXT>  (2) Rank: 0.0, 2 <TEXT>  (2) Rank: 0.0
a-z			0 <TEXT>  (2) Rank: 0.0, 1 <TEXT>  (2) Rank: 0.0, 2 <TEXT>  (2) Rank: 0.0
abroad			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
academic			0 <TEXT>  (11) Rank: 0.0, 1 <TEXT>  (17) Rank: 0.0, 2 <TEXT>  (18) Rank: 0.0
academics			0 <TEXT>  (2) Rank: 0.0, 1 <TEXT>  (3) Rank: 0.0, 2 <TEXT>  (3) Rank: 0.0
accessibility			0 <TEXT>  (2) Rank: 0.0, 1 <TEXT>  (2) Rank: 0.0, 2 <TEXT>  (2) Rank: 0.0
accordance			2 <TEXT>  (1) Rank: 0.0
accurate			1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
act			2 <TEXT>  (1) Rank: 0.0
addition			1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
administration			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
administrative			2 <TEXT>  (2) Rank: 0.0
admission			1 <TEXT>  (2) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
admissions			0 <TEXT>  (4) Rank: 0.0, 1 <TEXT>  (4) Rank: 0.0, 2 <TEXT>  (4) Rank: 0.0
advance			0 <TEXT>  (1) Rank: 0.0
advised			2 <TEXT>  (1) Rank: 0.0
aerospace			0 <TEXT>  (1) Rank: 0.0
ai			0 <TEXT>  (1) Rank: 0.0
aid			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
alumni			0 <TEXT>  (4) Rank: 0.0, 1 <TEXT>  (4) Rank: 0.0, 2 <TEXT>  (4) Rank: 0.0
and/or			2 <TEXT>  (1) Rank: 0.0
animals			0 <TEXT>  (2) Rank: 0.0
applicants			1 <TEXT>  (1) Rank: 0.0
application			1 <TEXT>  (2) Rank: 0.0
appropriate			1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
approved			1 <TEXT>  (1) Rank: 0.0
archived			1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (3) Rank: 0.0
archives			1 <TEXT>  (1) Rank: 0.0
arising			2 <TEXT>  (2) Rank: 0.0
arrange			1 <TEXT>  (1) Rank: 0.0
arts			0 <TEXT>  (10) Rank: 0.0, 1 <TEXT>  (11) Rank: 0.0, 2 <TEXT>  (9) Rank: 0.0
assist			2 <TEXT>  (1) Rank: 0.0
athletics			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
august			1 <TEXT>  (1) Rank: 0.0
available			1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
awards			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (2) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
back			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
becomes			2 <TEXT>  (1) Rank: 0.0
beginning			1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
better			0 <TEXT>  (2) Rank: 0.0
beyond			2 <TEXT>  (1) Rank: 0.0
big			0 <TEXT>  (1) Rank: 0.0
biohealth			0 <TEXT>  (1) Rank: 0.0
biology			0 <TEXT>  (1) Rank: 0.0
birks			0 <TEXT>  (4) Rank: 0.0, 1 <TEXT>  (4) Rank: 0.0, 2 <TEXT>  (4) Rank: 0.0
blvd			0 <TEXT>  (2) Rank: 0.0, 1 <TEXT>  (2) Rank: 0.0, 2 <TEXT>  (2) Rank: 0.0
bound			2 <TEXT>  (1) Rank: 0.0
bus			0 <TEXT>  (5) Rank: 0.0, 1 <TEXT>  (5) Rank: 0.0, 2 <TEXT>  (5) Rank: 0.0
business			0 <TEXT>  (4) Rank: 0.0, 1 <TEXT>  (5) Rank: 0.0, 2 <TEXT>  (4) Rank: 0.0
café			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
calendar			0 <TEXT>  (12) Rank: 0.0, 1 <TEXT>  (18) Rank: 0.0, 2 <TEXT>  (28) Rank: 0.0
calendars			1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (4) Rank: 0.0
calendars”			2 <TEXT>  (1) Rank: 0.0
call			0 <TEXT>  (2) Rank: 0.0, 1 <TEXT>  (2) Rank: 0.0, 2 <TEXT>  (2) Rank: 0.0
