
DISPLAYING RESULTS FROM QUERY: 
"democrats" , "welfare" , "healthcare" , "reform" , "policies" 
629 MATCHES AT THE FOLLOWING DOCUMENTS:
ORDERED BY BM25 VALUE:
Document ID: 6940	Score: 23.525414837602973
Document ID: 6052	Score: 22.08735309303543
Document ID: 2132	Score: 21.838655469588105
Document ID: 11204	Score: 21.539350835785072
Document ID: 7219	Score: 21.119409793389142
Document ID: 18878	Score: 20.499429783549395
Document ID: 4006	Score: 20.41868091188281
Document ID: 5868	Score: 20.10448838177522
Document ID: 7375	Score: 19.96959398544517
Document ID: 18271	Score: 19.64261620495994
Document ID: 12750	Score: 19.35442656373405
Document ID: 17940	Score: 18.743332606728746
Document ID: 20805	Score: 18.54110276230633
Document ID: 12806	Score: 18.469425195878788
Document ID: 2417	Score: 18.402505061799523
Document ID: 18731	Score: 18.28649002563037
Document ID: 10230	Score: 18.28231934177527
Document ID: 8072	Score: 18.202462956216237
Document ID: 8310	Score: 18.20023259902949
Document ID: 16092	Score: 18.05951406163966
Document ID: 20829	Score: 18.047988327138608
Document ID: 1999	Score: 17.905025322440082
Document ID: 19660	Score: 17.902136130562656
Document ID: 18357	Score: 17.764512070691403
Document ID: 12552	Score: 17.560716426480568
Document ID: 12438	Score: 16.96510902751029
Document ID: 672	Score: 16.591793669936717
Document ID: 18328	Score: 16.391409688415738
Document ID: 6600	Score: 16.391409688415738
Document ID: 8635	Score: 16.00481983727386
Document ID: 8667	Score: 16.00481983727386
Document ID: 16226	Score: 15.675452812360636
Document ID: 12879	Score: 15.390772503434004
Document ID: 16544	Score: 15.387853993206614
Document ID: 6606	Score: 15.21534441929174
Document ID: 862	Score: 15.12915346255681
Document ID: 17915	Score: 15.106946239768789
Document ID: 1895	Score: 14.969213847803198
Document ID: 9055	Score: 14.28640760211393
Document ID: 14976	Score: 14.131471452098163
Document ID: 18161	Score: 14.012861979478634
Document ID: 17560	Score: 13.996080108844527
Document ID: 17697	Score: 13.9791371636801
Document ID: 16168	Score: 13.896219726569349
Document ID: 19173	Score: 13.89337558598881
Document ID: 4268	Score: 13.868483992565617
Document ID: 7493	Score: 13.855950015520774
Document ID: 1595	Score: 13.846832809105665
Document ID: 15791	Score: 13.817732009241473
Document ID: 20423	Score: 13.787562288697277
Document ID: 19134	Score: 13.769943541456817
Document ID: 5093	Score: 13.68350586414608
Document ID: 1971	Score: 13.668189455028903
Document ID: 7031	Score: 13.668189455028903
Document ID: 17185	Score: 13.654011289746713
Document ID: 21577	Score: 13.651374863410476
