			DocID: 0 <TEXT> Freq=(22) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(9) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(1046) Rank: 0.0  TF-IDF=(0.0)
/4			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
09:00			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
100%			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
15?minutes			DocID: 1 <TEXT> Freq=(1) Rank: 1.366356815140606  TF-IDF=(1.0986122886681098)
17:00			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
1m8			DocID: 0 <TEXT> Freq=(2) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(2) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(2) Rank: 0.0  TF-IDF=(0.0)
1r6			DocID: 0 <TEXT> Freq=(2) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(2) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(2) Rank: 0.0  TF-IDF=(0.0)
200-level			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
2018-2019			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
2019-2020			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
2019-20:			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
2019”			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
2020”			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
2192  and			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
24-hour			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
3m			DocID: 0 <TEXT> Freq=(2) Rank: 1.6393074640198133  TF-IDF=(2.1972245773362196)
3’			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
3”			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
5-digit			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
50?minute			DocID: 1 <TEXT> Freq=(1) Rank: 1.366356815140606  TF-IDF=(1.0986122886681098)
514-848-2424			DocID: 0 <TEXT> Freq=(2) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(2) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(6) Rank: 0.0  TF-IDF=(0.0)
600-level			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
6a			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
75?minute			DocID: 1 <TEXT> Freq=(1) Rank: 1.366356815140606  TF-IDF=(1.0986122886681098)
7am			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
7pm			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
8:00			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
a m			DocID: 2 <TEXT> Freq=(4) Rank: 1.538878515702723  TF-IDF=(4.394449154672439)
a-z			DocID: 0 <TEXT> Freq=(2) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(1) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(1) Rank: 0.0  TF-IDF=(0.0)
aa			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
abbreviation			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
able			DocID: 2 <TEXT> Freq=(13) Rank: 1.941639682256172  TF-IDF=(14.281959752685427)
abroad			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
academic			DocID: 0 <TEXT> Freq=(11) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(10) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(28) Rank: 0.0  TF-IDF=(0.0)
academics			DocID: 0 <TEXT> Freq=(2) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(1) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(9) Rank: 0.0  TF-IDF=(0.0)
access			DocID: 2 <TEXT> Freq=(5) Rank: 1.6369746139538217  TF-IDF=(5.493061443340549)
accessed			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
accessibility			DocID: 0 <TEXT> Freq=(2) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(2) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(2) Rank: 0.0  TF-IDF=(0.0)
accessing			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
accomplish			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
according			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
accordingly			DocID: 2 <TEXT> Freq=(3) Rank: 1.3991389509868126  TF-IDF=(3.295836866004329)
account			DocID: 2 <TEXT> Freq=(5) Rank: 1.6369746139538217  TF-IDF=(5.493061443340549)
active			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
actual			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
actually			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
add			DocID: 2 <TEXT> Freq=(15) Rank: 1.9722280715012797  TF-IDF=(16.479184330021646)
