			DocID: 53 <TITLE> Freq=(46) Rank: 10.0  TF-IDF=(0.0), DocID: 54 <TITLE> Freq=(46) Rank: 10.0  TF-IDF=(0.0), DocID: 55 <TITLE> Freq=(183) Rank: 10.0  TF-IDF=(0.0), DocID: 56 <TITLE> Freq=(183) Rank: 10.0  TF-IDF=(0.0), DocID: 57 <TITLE> Freq=(142) Rank: 10.0  TF-IDF=(0.0), DocID: 58 <TITLE> Freq=(142) Rank: 10.0  TF-IDF=(0.0), DocID: 59 <TITLE> Freq=(142) Rank: 10.0  TF-IDF=(0.0), DocID: 50 <TEXT> Freq=(182) Rank: 0.0  TF-IDF=(0.0), DocID: 51 <TEXT> Freq=(182) Rank: 0.0  TF-IDF=(0.0), DocID: 52 <TEXT> Freq=(182) Rank: 0.0  TF-IDF=(0.0)
#0738341			DocID: 53 <TEXT> Freq=(1) Rank: 2.00587848742178  TF-IDF=(1.6094379124341003), DocID: 54 <TEXT> Freq=(1) Rank: 2.00587848742178  TF-IDF=(1.6094379124341003)
#1			DocID: 55 <TEXT> Freq=(1) Rank: 1.5791010884101484  TF-IDF=(1.6094379124341003), DocID: 56 <TEXT> Freq=(1) Rank: 1.5791010884101484  TF-IDF=(1.6094379124341003)
#1319941			DocID: 53 <TEXT> Freq=(1) Rank: 2.00587848742178  TF-IDF=(1.6094379124341003), DocID: 54 <TEXT> Freq=(1) Rank: 2.00587848742178  TF-IDF=(1.6094379124341003)
#artificialintelligence			DocID: 57 <TEXT> Freq=(10) Rank: 0.9318372961822231  TF-IDF=(5.108256237659907), DocID: 58 <TEXT> Freq=(10) Rank: 0.9318372961822231  TF-IDF=(5.108256237659907), DocID: 59 <TEXT> Freq=(10) Rank: 0.9318372961822231  TF-IDF=(5.108256237659907), DocID: 50 <TEXT> Freq=(10) Rank: 0.9061420321793365  TF-IDF=(5.108256237659907), DocID: 51 <TEXT> Freq=(10) Rank: 0.9061420321793365  TF-IDF=(5.108256237659907), DocID: 52 <TEXT> Freq=(10) Rank: 0.9061420321793365  TF-IDF=(5.108256237659907)
#artificialintelligencenov-13-2019			DocID: 57 <TEXT> Freq=(3) Rank: 1.8224352661527665  TF-IDF=(3.6119184129778086), DocID: 58 <TEXT> Freq=(3) Rank: 1.8224352661527665  TF-IDF=(3.6119184129778086), DocID: 59 <TEXT> Freq=(3) Rank: 1.8224352661527665  TF-IDF=(3.6119184129778086)
#artificialintelligencenov-14-2019			DocID: 57 <TEXT> Freq=(3) Rank: 1.8224352661527665  TF-IDF=(3.6119184129778086), DocID: 58 <TEXT> Freq=(3) Rank: 1.8224352661527665  TF-IDF=(3.6119184129778086), DocID: 59 <TEXT> Freq=(3) Rank: 1.8224352661527665  TF-IDF=(3.6119184129778086)
#artificialintelligencenov-15-2019			DocID: 57 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361), DocID: 58 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361), DocID: 59 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361)
#artificialintelligencenov-16-2019			DocID: 57 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361), DocID: 58 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361), DocID: 59 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361)
#artificialintelligencenov-17-2019			DocID: 57 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361), DocID: 58 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361), DocID: 59 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361)
#artificialintelligencenov-19-2019			DocID: 57 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361), DocID: 58 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361), DocID: 59 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361)
#artificialintelligencenov-30-2019			DocID: 50 <TEXT> Freq=(10) Rank: 2.1357001545019054  TF-IDF=(12.03972804325936), DocID: 51 <TEXT> Freq=(10) Rank: 2.1357001545019054  TF-IDF=(12.03972804325936), DocID: 52 <TEXT> Freq=(10) Rank: 2.1357001545019054  TF-IDF=(12.03972804325936)
